Unique numbers:
414 (1160)
419 (5057)
422 (1255)
423 (1412)
424 (1448)
427 (1856)
428 (1021)
429 (1037)
438 (4511)
440 (1943)
448 (1370)
449 (1890)
450 (2082)
458 (1124)
460 (4438)
461 (1498)
468 (1089)
469 (1502)
470 (4137)
471 (2894)
472 (2125)
477 (2462)
480 (2309)
486 (1547)
487 (3135)
489 (3420)
490 (1066)
494 (5102)
496 (1428)
500 (1444)
504 (1296)
509 (3044)
510 (3281)
511 (1015)
513 (1287)
515 (1166)
516 (1544)
517 (1201)
521 (1582)
522 (2725)
523 (2244)
526 (2793)
527 (1185)
529 (7057)
530 (1263)
534 (1531)
538 (3982)
540 (1293)
541 (3735)
546 (1050)
548 (2843)
550 (1203)
554 (1114)
561 (2783)
563 (1065)
567 (1102)
569 (2835)
571 (2902)
572 (1589)
573 (1229)
574 (1297)
576 (1337)
577 (1695)
578 (1290)
579 (2164)
580 (1667)
581 (2943)
583 (1389)
591 (1241)
593 (2601)
594 (1516)
597 (2883)
598 (3219)
600 (1192)
605 (1652)
606 (2668)
611 (1444)
614 (3134)
617 (2614)
618 (1337)
620 (2100)
623 (1845)
628 (1102)
630 (1523)
631 (2793)
632 (1070)
634 (2492)
638 (2288)
639 (1572)
641 (1494)
649 (1292)
651 (1288)
653 (2634)
658 (1881)
661 (2693)
663 (2354)
665 (1297)
673 (1635)
674 (2527)
675 (2976)
676 (2717)
678 (1329)
682 (4132)
684 (5408)
686 (1495)
687 (1762)
688 (1132)
692 (4993)
694 (2847)
701 (1283)
704 (1794)
706 (1923)
707 (1354)
708 (1090)
710 (1044)
716 (1199)
718 (1238)
720 (3864)
722 (5845)
733 (1141)
735 (1689)
736 (1470)
738 (2129)
740 (1632)
744 (2177)
746 (1982)
749 (1330)
752 (2578)
758 (2860)
763 (1862)
765 (1705)
766 (6265)
769 (1622)
774 (2046)
775 (3771)
778 (2514)
780 (2306)
782 (2767)
784 (1257)
788 (2386)
789 (4309)
790 (1094)
792 (1306)
793 (3063)
795 (3361)
797 (2684)
798 (3103)
800 (1916)
803 (2237)
804 (1315)
805 (1789)
809 (2163)
810 (1267)
812 (1518)
814 (1672)
815 (1358)
819 (1257)
820 (1473)
823 (1031)
825 (3085)
826 (2022)
829 (6810)
832 (2062)
834 (1373)
841 (1927)
843 (1222)
844 (2814)
846 (1480)
853 (1804)
854 (2847)
857 (1588)
859 (1242)
860 (1255)
862 (3649)
867 (1530)
871 (2810)
874 (2237)
878 (2047)
883 (4902)
884 (1645)
885 (3043)
886 (3053)
887 (1671)
888 (3686)
890 (1437)
893 (1947)
895 (3385)
897 (1935)
899 (1252)
900 (1165)
906 (1444)
910 (1695)
912 (1009)
913 (1939)
914 (4037)
918 (3012)
919 (3710)
921 (2425)
923 (1753)
928 (1034)
932 (1786)
935 (1742)
937 (4681)
941 (1126)
944 (2794)
946 (1350)
947 (3690)
948 (1149)
949 (1414)
950 (1463)
952 (1574)
956 (3626)
960 (2732)
963 (1327)
964 (1518)
966 (3921)
967 (1695)
970 (2086)
975 (1764)
978 (1141)
981 (1542)
982 (1640)
984 (1756)
988 (1164)
989 (1289)
991 (1268)
992 (1116)
995 (1521)
998 (2713)

Item Sets:
572, 579 (1044)
350, 354, 401, 548, 684, 740, 774, 775 (1049)
789, 829 (1141)
789, 829 (1141)
583, 617 (1034)
97, 147, 183, 368, 381, 424, 574, 676, 793, 857, 947 (1020)
571, 623 (1010)
208, 290 (1081)
204, 334 (1081)
579, 581 (1033)
581, 631 (1007)
675, 701 (1049)
789, 829 (1141)
571, 623 (1010)
675, 701 (1049)
283, 346 (1252)
170, 362, 438 (1047)
572, 579 (1044)
529, 663, 684, 758, 765, 819 (1141)
487, 494 (1071)
487, 494 (1071)
583, 617 (1034)
392, 403, 468, 684 (1043)
529, 598 (1020)
440, 494, 517 (1071)
789, 829 (1141)
487, 510 (1043)
401, 583, 597, 617, 663 (1044)
487, 510 (1043)
487, 510 (1043)
579, 581 (1033)
487, 510 (1043)
283, 346 (1252)
572, 579 (1044)
487, 510 (1043)
217, 283 (1047)
283, 346 (1252)
440, 494, 517 (1071)
583, 617 (1034)
529, 598 (1020)
217, 283 (1047)
348, 450, 468, 489, 632 (1043)
217, 283 (1047)
401, 422, 571, 795, 823 (1007)
572, 579 (1044)
487, 510 (1043)
571, 623 (1010)
576, 614 (1033)
561, 733 (1010)
579, 581 (1033)
789, 829 (1141)
581, 639 (1034)
487, 510 (1043)
510, 577, 989 (1059)
581, 631 (1007)
487, 494 (1071)
529, 598 (1020)
529, 598 (1020)
583, 617 (1034)
373, 477, 526, 569, 581, 766 (1007)
675, 701 (1049)
548, 567, 581 (1059)
440, 494, 517 (1071)
487, 510 (1043)
440, 494, 517 (1071)
789, 829 (1141)
217, 283 (1047)
283, 346 (1252)
208, 290 (1081)
571, 623 (1010)
487, 494 (1071)
208, 290 (1081)
583, 617 (1034)
487, 510 (1043)
440, 494, 517 (1071)
217, 283 (1047)
217, 283 (1047)
283, 346 (1252)
572, 579 (1044)
572, 718, 765, 819, 914 (1141)
572, 579 (1044)
283, 346 (1252)
579, 581 (1033)
217, 283 (1047)
283, 346 (1252)
571, 623 (1010)
583, 617 (1034)
217, 283 (1047)
283, 346 (1252)
581, 631 (1007)
516, 522, 752 (1033)
641, 665, 878, 914 (1141)
217, 283 (1047)
283, 346 (1252)
487, 510 (1043)
583, 617 (1034)
572, 579 (1044)
529, 598 (1020)
675, 701 (1049)
217, 283 (1047)
283, 346 (1252)
571, 623 (1010)
69, 285, 366, 381, 419, 460 (1047)
285, 366, 381, 419, 460, 521, 569 (1071)
675, 701 (1049)
487, 510 (1043)
583, 617 (1034)
789, 829 (1141)
571, 623 (1010)
579, 581 (1033)
571, 573, 634, 638 (1049)
204, 334 (1081)
183, 192, 204, 258, 403, 440, 797, 804, 921, 998 (1034)
204, 258, 403, 440, 797, 804, 921 (1043)
509, 513, 526, 538 (1059)
480, 510, 614 (1224)
175, 177, 214, 354 (1047)
486, 521 (1043)
440, 494, 517 (1071)
789, 829 (1141)
529, 598 (1020)
583, 617 (1034)
204, 334 (1081)
579, 581 (1033)
571, 623 (1010)
529, 598 (1020)
572, 579 (1044)
217, 283 (1047)
283, 346 (1252)
579, 581 (1033)
487, 494 (1071)
208, 290 (1081)
283, 346 (1252)
583, 617 (1034)
581, 631 (1007)
208, 290 (1081)
572, 579 (1044)
579, 581 (1033)
438, 494, 541, 631, 692 (1059)
581, 631 (1007)
529, 598 (1020)
27, 58, 217, 346, 354, 357, 480, 561 (1047)
581, 631 (1007)
217, 283 (1047)
789, 829 (1141)
571, 623 (1010)
279, 390 (1252)
401, 554, 886 (1071)
217, 283 (1047)
283, 346 (1252)
572, 579 (1044)
579, 581 (1033)
581, 631 (1007)
208, 290 (1081)
675, 701 (1049)
789, 829 (1141)
487, 510 (1043)
529, 598 (1020)
440, 494, 517 (1071)
440, 494, 517 (1071)
419, 665, 793, 804 (1044)
217, 283 (1047)
283, 346 (1252)
583, 617 (1034)
583, 617 (1034)
789, 829 (1141)
217, 283 (1047)
283, 346 (1252)
472, 561, 651 (1224)
214, 242, 285, 354, 471, 504, 758, 947, 956 (1044)
208, 290 (1081)
579, 581 (1033)
571, 623 (1010)
440, 494, 517 (1071)
572, 579 (1044)
581, 631 (1007)
789, 829 (1141)
279, 390 (1252)
217, 283 (1047)
217, 283 (1047)
283, 346 (1252)
675, 701 (1049)
789, 829 (1141)
529, 598 (1020)
529, 598 (1020)
529, 598 (1020)
335, 510, 620, 676, 722, 809 (1007)
440, 494, 517 (1071)
529, 598 (1020)
789, 829 (1141)
362, 378, 392, 460, 534, 658 (1224)
204, 334 (1081)
576, 614 (1033)
593, 653 (1059)
487, 510 (1043)
204, 334 (1081)
571, 623 (1010)
579, 581 (1033)
487, 510 (1043)
283, 346 (1252)
789, 829 (1141)
789, 829 (1141)
572, 579 (1044)
487, 510 (1043)
789, 829 (1141)
487, 510 (1043)
675, 701 (1049)
217, 283 (1047)
789, 829 (1141)
675, 701 (1049)
789, 829 (1141)
581, 631 (1007)
487, 510 (1043)
583, 617 (1034)
583, 617 (1034)
572, 579 (1044)
477, 561, 605, 763 (1059)
579, 581 (1033)
276, 354, 357, 480, 487, 500, 522, 688, 752 (1059)
198, 236, 239, 296, 510 (1252)
217, 283 (1047)
579, 581 (1033)
581, 631 (1007)
440, 494, 517 (1071)
675, 701 (1049)
789, 829 (1141)
204, 334 (1081)
177, 350, 373 (1047)
572, 579 (1044)
217, 283 (1047)
283, 346 (1252)
567, 793 (1034)
675, 701 (1049)
789, 829 (1141)
579, 581 (1033)
208, 290 (1081)
571, 623 (1010)
583, 617 (1034)
579, 581 (1033)
529, 598 (1020)
572, 579 (1044)
354, 362, 392, 438, 638, 684, 707, 722, 804, 867 (1141)
527, 620 (1020)
440, 494, 517 (1071)
217, 283 (1047)
283, 346 (1252)
217, 283 (1047)
283, 346 (1252)
175, 392, 470, 489, 534, 630, 632, 795 (1043)
157, 175, 177, 310, 470, 600 (1252)
529, 598 (1020)
208, 290 (1081)
93, 140, 280, 387, 494, 538, 597 (1252)
294, 438, 778, 780, 795, 846 (1044)
207, 294, 392, 496 (1252)
204, 334 (1081)
529, 598 (1020)
579, 581 (1033)
579, 581 (1033)
579, 581 (1033)
78, 147, 529, 538, 598 (1047)
472, 490, 735 (1020)
440, 494, 517 (1071)
487, 494 (1071)
208, 290 (1081)
572, 579 (1044)
208, 290 (1081)
377, 526, 538, 567, 639 (1020)
217, 283 (1047)
283, 346 (1252)
487, 510 (1043)
581, 631 (1007)
789, 829 (1141)
140, 319, 394, 605, 692, 752, 769, 780 (1071)
283, 346 (1252)
489, 494, 510, 521 (1010)
469, 692 (1071)
217, 283 (1047)
283, 346 (1252)
789, 829 (1141)
487, 494 (1071)
789, 829 (1141)
593, 653 (1059)
675, 701 (1049)
487, 510 (1043)
85, 100, 145, 362, 419, 617 (1081)
487, 510 (1043)
440, 494, 517 (1071)
581, 631 (1007)
204, 334 (1081)
487, 510 (1043)
789, 829 (1141)
571, 623 (1010)
571, 623 (1010)
217, 283 (1047)
789, 829 (1141)
593, 653 (1059)
487, 494 (1071)
208, 290 (1081)
572, 738 (1034)
208, 290 (1081)
529, 598 (1020)
581, 631 (1007)
217, 283 (1047)
283, 346 (1252)
789, 829 (1141)
527, 541, 684 (1007)
583, 617 (1034)
401, 419, 460, 577 (1043)
217, 283 (1047)
283, 346 (1252)
217, 283 (1047)
283, 346 (1252)
168, 349, 381 (1081)
487, 510 (1043)
572, 579 (1044)
789, 829 (1141)
571, 623 (1010)
581, 631 (1007)
579, 581 (1033)
571, 623 (1010)
509, 631, 674 (1010)
583, 617 (1034)
581, 631 (1007)
217, 283 (1047)
283, 346 (1252)
504, 860 (1224)
675, 701 (1049)
583, 617 (1034)
217, 283 (1047)
283, 346 (1252)
217, 283 (1047)
283, 346 (1252)
526, 540, 578 (1010)
789, 829 (1141)
529, 598 (1020)
440, 494, 517 (1071)
529, 598 (1020)
217, 283 (1047)
283, 346 (1252)
571, 623 (1010)
782, 906 (1141)
572, 661, 718, 914, 923 (1141)
572, 579 (1044)
579, 581 (1033)
208, 290 (1081)
789, 829 (1141)
487, 494 (1071)
469, 692 (1071)
526, 591, 653 (1034)
789, 829 (1141)
401, 554, 886 (1071)
487, 510 (1043)
593, 653 (1059)
581, 639 (1034)
217, 283 (1047)
572, 579 (1044)
572, 579 (1044)
789, 829 (1141)
572, 579 (1044)
487, 510 (1043)
208, 290 (1081)
72, 130, 192, 274, 326, 350, 606 (1047)
675, 701 (1049)
373, 405, 419, 438, 486 (1071)
583, 617 (1034)
217, 283 (1047)
283, 346 (1252)
583, 617 (1034)
494, 678, 792 (1010)
572, 579 (1044)
572, 579 (1044)
571, 623 (1010)
217, 283 (1047)
487, 510 (1043)
440, 494, 517 (1071)
208, 290 (1081)
392, 461, 509, 569 (1071)
276, 423 (1252)
789, 829 (1141)
572, 579 (1044)
529, 598 (1020)
583, 617 (1034)
487, 510 (1043)
583, 617 (1034)
581, 639 (1034)
591, 675 (1059)
438, 486, 563 (1043)
571, 623 (1010)
789, 829 (1141)
500, 580, 795, 871, 874, 888 (1141)
487, 494 (1071)
675, 701 (1049)
487, 510 (1043)
487, 510, 550 (1020)
440, 494, 517 (1071)
572, 579 (1044)
579, 581 (1033)
401, 554, 886 (1071)
529, 598 (1020)
217, 283 (1047)
579, 581 (1033)
529, 598 (1020)
583, 617 (1034)
675, 701 (1049)
572, 579 (1044)
487, 510 (1043)
571, 623 (1010)
440, 494, 517 (1071)
487, 494 (1071)
583, 617 (1034)
572, 579 (1044)
572, 579 (1044)
529, 598 (1020)
411, 460, 480, 658, 752 (1044)
460, 480, 658, 752 (1033)
581, 631 (1007)
208, 290 (1081)
591, 675 (1059)
217, 283 (1047)
283, 346 (1252)
572, 579 (1044)
279, 390 (1252)
486, 521 (1043)
571, 623 (1010)
529, 598 (1020)
572, 579 (1044)
283, 346 (1252)
217, 283 (1047)
283, 346 (1252)
357, 538, 701, 805, 900 (1044)
487, 510 (1043)
789, 829 (1141)
571, 623 (1010)
487, 494 (1071)
183, 197, 460 (1047)
583, 617 (1034)
583, 617 (1034)
440, 494, 517 (1071)
217, 283 (1047)
571, 623 (1010)
675, 701 (1049)
489, 496, 529 (1224)
208, 290 (1081)
440, 494, 517 (1071)
419, 470, 569, 769 (1020)
581, 631 (1007)
208, 290 (1081)
526, 631 (1020)
480, 561, 563 (1224)
571, 623 (1010)
487, 510 (1043)
217, 283 (1047)
283, 346 (1252)
789, 829 (1141)
419, 569, 577, 649 (1224)
217, 283 (1047)
283, 346 (1252)
583, 617 (1034)
579, 581 (1033)
217, 283 (1047)
572, 579 (1044)
368, 494, 573, 583, 617, 707 (1007)
583, 617 (1034)
571, 623 (1010)
789, 829 (1141)
440, 494, 517 (1071)
571, 623 (1010)
368, 438, 460, 735, 736 (1020)
581, 631 (1007)
789, 829 (1141)
675, 701 (1049)
581, 631 (1007)
217, 283 (1047)
283, 346 (1252)
487, 510 (1043)
593, 653 (1059)
675, 701 (1049)
581, 631 (1007)
579, 581 (1033)
579, 581 (1033)
283, 346 (1252)
529, 598 (1020)
675, 701 (1049)
789, 829 (1141)
354, 361, 509, 510, 593 (1043)
208, 290 (1081)
276, 419, 468, 581, 688, 752, 960 (1010)
468, 581, 688 (1020)
208, 290 (1081)
354, 377, 423, 440, 521, 749 (1224)
33, 208, 217, 283, 290, 346, 413, 458 (1081)
217, 283 (1047)
571, 623 (1010)
579, 581 (1033)
789, 829 (1141)
487, 510 (1043)
572, 579 (1044)
487, 494 (1071)
675, 701 (1049)
789, 829 (1141)
581, 631 (1007)
487, 510 (1043)
789, 829 (1141)
583, 617 (1034)
283, 346 (1252)
675, 701 (1049)
583, 617 (1034)
579, 581 (1033)
204, 334 (1081)
208, 290 (1081)
561, 733 (1010)
368, 390, 494, 548, 937 (1020)
217, 283 (1047)
283, 346 (1252)
571, 623 (1010)
572, 579 (1044)
572, 579 (1044)
208, 290 (1081)
422, 487, 600, 675 (1224)
572, 579 (1044)
217, 283 (1047)
572, 579 (1044)
208, 290 (1081)
529, 598 (1020)
571, 623 (1010)
675, 701 (1049)
283, 346 (1252)
487, 510 (1043)
403, 405, 438, 461, 529, 638 (1010)
583, 617 (1034)
440, 494, 517 (1071)
487, 510 (1043)
487, 494 (1071)
460, 487, 538, 548, 718, 775 (1049)
593, 653 (1059)
583, 617 (1034)
217, 283 (1047)
571, 623 (1010)
208, 290 (1081)
675, 701 (1049)
571, 623 (1010)
526, 618 (1224)
208, 290 (1081)
583, 617 (1034)
789, 829 (1141)
583, 617 (1034)
217, 283 (1047)
283, 346 (1252)
208, 290 (1081)
789, 829 (1141)
583, 617 (1034)
579, 581 (1033)
675, 701 (1049)
217, 283 (1047)
789, 829 (1141)
354, 357, 368, 480, 752 (1071)
593, 653 (1059)
675, 701 (1049)
217, 283 (1047)
283, 346 (1252)
583, 617 (1034)
581, 631 (1007)
217, 283 (1047)
283, 346 (1252)
461, 561, 576, 663 (1044)
204, 334 (1081)
487, 510 (1043)
208, 290 (1081)
789, 829 (1141)
572, 579 (1044)
583, 617 (1034)
593, 653 (1059)
487, 510 (1043)
583, 617 (1034)
572, 579 (1044)
571, 623 (1010)
529, 598 (1020)
571, 623 (1010)
581, 631 (1007)
521, 580, 639 (1033)
279, 390 (1252)
675, 701 (1049)
279, 390 (1252)
572, 579 (1044)
487, 510 (1043)
440, 494, 517 (1071)
583, 617 (1034)
579, 581 (1033)
784, 884 (1141)
579, 581 (1033)
579, 581 (1033)
583, 617 (1034)
487, 510 (1043)
217, 283 (1047)
283, 346 (1252)
579, 581 (1033)
217, 283 (1047)
283, 346 (1252)
368, 427, 494, 576, 653, 706 (1010)
572, 738 (1034)
529, 598 (1020)
487, 510 (1043)
789, 829 (1141)
487, 494 (1071)
571, 623 (1010)
598, 722, 826 (1049)
789, 829 (1141)
354, 357, 373, 480, 548, 752 (1224)
593, 653 (1059)
477, 486, 684 (1020)
217, 283 (1047)
283, 346 (1252)
515, 649, 716 (1034)
583, 617 (1034)
472, 675 (1043)
789, 829 (1141)
440, 494, 517 (1071)
571, 623 (1010)
581, 631 (1007)
571, 623 (1010)
572, 579 (1044)
789, 829 (1141)
529, 598 (1020)
283, 346 (1252)
579, 581 (1033)
579, 581 (1033)
571, 623 (1010)
789, 829 (1141)
385, 429, 460, 480, 569, 583, 684, 686 (1049)
487, 510 (1043)
208, 290 (1081)
487, 510 (1043)
593, 653 (1059)
204, 334 (1081)
440, 494, 517 (1071)
440, 494, 517, 522, 577 (1033)
583, 617 (1034)
217, 283 (1047)
283, 346 (1252)
579, 581 (1033)
571, 623 (1010)
789, 829 (1141)
480, 571 (1071)
571, 623 (1010)
576, 686 (1007)
140, 198, 438, 494 (1047)
572, 579 (1044)
571, 623 (1010)
487, 510 (1043)
583, 617 (1034)
581, 631 (1007)
403, 440, 578, 775, 804 (1034)
675, 701 (1049)
487, 494 (1071)
37, 54, 68, 185, 350, 377, 516, 744, 758 (1252)
217, 283 (1047)
283, 346 (1252)
440, 450, 529, 598 (1020)
529, 598 (1020)
283, 346 (1252)
487, 510 (1043)
548, 550, 598 (1059)
208, 290 (1081)
362, 414, 513, 684, 707, 722 (1007)
527, 620 (1020)
217, 283 (1047)
283, 346 (1252)
523, 651 (1224)
529, 598 (1020)
487, 510 (1043)
529, 598 (1020)
529, 598 (1020)
217, 283 (1047)
283, 346 (1252)
217, 283 (1047)
283, 346 (1252)
789, 829 (1141)
217, 283 (1047)
217, 283 (1047)
283, 346 (1252)
583, 617 (1034)
368, 438, 661, 720 (1043)
581, 631 (1007)
205, 401, 471, 489, 678, 841, 853, 883 (1044)
487, 494 (1071)
204, 334 (1081)
789, 829 (1141)
208, 290 (1081)
789, 829 (1141)
487, 494 (1071)
579, 581 (1033)
204, 334 (1081)
401, 554, 886 (1071)
583, 617 (1034)
579, 581 (1033)
581, 631 (1007)
789, 829 (1141)
32, 285, 429, 471, 480, 561 (1081)
581, 631 (1007)
789, 829 (1141)
675, 701 (1049)
208, 290 (1081)
789, 829 (1141)
581, 631 (1007)
279, 390 (1252)
572, 579 (1044)
471, 516, 523, 684 (1010)
480, 571 (1071)
583, 617 (1034)
789, 829 (1141)
572, 579 (1044)
572, 579 (1044)
579, 581 (1033)
279, 581, 597, 673, 722, 752, 782 (1059)
572, 579 (1044)
789, 829 (1141)
789, 829 (1141)
583, 617 (1034)
789, 829 (1141)
487, 510 (1043)
487, 510 (1043)
279, 390 (1252)
583, 617 (1034)
583, 617 (1034)
204, 334 (1081)
526, 631 (1020)
217, 283 (1047)
283, 346 (1252)
208, 290 (1081)
789, 829 (1141)
526, 631 (1020)
571, 623 (1010)
583, 617 (1034)
283, 346 (1252)
487, 494 (1071)
572, 579 (1044)
487, 494 (1071)
487, 494 (1071)
581, 631 (1007)
583, 617 (1034)
487, 494 (1071)
572, 579 (1044)
487, 510 (1043)
593, 653 (1059)
336, 354, 392, 448, 468, 509 (1043)
572, 579 (1044)
208, 290 (1081)
675, 701 (1049)
675, 701 (1049)
487, 510 (1043)
593, 653 (1059)
583, 617 (1034)
78, 90, 120, 183, 309, 424, 510, 606, 620, 676, 678, 793 (1043)
283, 346 (1252)
362, 419, 494, 694, 815 (1224)
440, 489, 538 (1043)
789, 829 (1141)
427, 461, 529, 569, 694 (1033)
487, 494 (1071)
571, 623 (1010)
623, 853, 888, 914 (1141)
583, 617 (1034)
581, 631 (1007)
504, 860 (1224)
208, 290 (1081)
217, 283 (1047)
529, 598 (1020)
789, 829 (1141)
529, 591, 766 (1059)
529, 598 (1020)
529, 554, 577 (1033)
579, 581 (1033)
789, 829 (1141)
487, 494 (1071)
217, 283 (1047)
283, 346 (1252)
401, 554, 886 (1071)
581, 631 (1007)
529, 598 (1020)
486, 487, 571 (1224)
438, 509, 540 (1043)
494, 639, 949 (1007)
571, 623 (1010)
593, 653 (1059)
576, 614 (1033)
208, 290 (1081)
581, 631 (1007)
789, 829 (1141)
487, 494 (1071)
214, 217, 236, 240, 322, 354, 504, 522, 541, 577 (1043)
583, 617 (1034)
440, 494, 517 (1071)
789, 829 (1141)
583, 617 (1034)
105, 210, 217, 332, 346, 362, 469, 515, 854, 966, 991 (1020)
583, 617 (1034)
675, 701 (1049)
579, 581 (1033)
487, 510 (1043)
276, 296, 361, 368, 477, 500, 829 (1043)
111, 653, 704 (1081)
487, 494 (1071)
217, 283 (1047)
283, 346 (1252)
579, 581 (1033)
581, 631 (1007)
208, 290 (1081)
571, 623 (1010)
529, 598 (1020)
789, 829 (1141)
204, 334 (1081)
217, 283 (1047)
283, 346 (1252)
413, 515, 793 (1071)
161, 236, 242, 280, 471, 597, 617, 618, 758, 814 (1224)
487, 510 (1043)
579, 581 (1033)
789, 829 (1141)
789, 829 (1141)
217, 283 (1047)
572, 579 (1044)
572, 579 (1044)
361, 378, 477, 500, 541 (1043)
208, 290 (1081)
208, 290 (1081)
581, 631 (1007)
208, 290 (1081)
487, 510 (1043)
583, 617 (1034)
675, 701 (1049)
789, 829 (1141)
789, 829 (1141)
571, 623 (1010)
675, 701 (1049)
571, 623 (1010)
572, 579 (1044)
722, 774, 792 (1141)
279, 390 (1252)
469, 574, 684 (1020)
572, 579 (1044)
401, 460, 766, 780 (1020)
675, 701 (1049)
208, 290 (1081)
168, 217, 513 (1081)
348, 661, 684, 694 (1043)
583, 617 (1034)
487, 510 (1043)
217, 283 (1047)
487, 510 (1043)
217, 283 (1047)
217, 283 (1047)
279, 390 (1252)
217, 283 (1047)
283, 346 (1252)
581, 631 (1007)
487, 510 (1043)
583, 617 (1034)
529, 598 (1020)
572, 579 (1044)
470, 480, 548, 752 (1033)
579, 581 (1033)
789, 829 (1141)
326, 403, 450, 526, 561, 722, 774 (1007)
593, 653 (1059)
208, 290 (1081)
217, 283 (1047)
283, 346 (1252)
487, 510 (1043)
571, 623 (1010)
440, 494, 517 (1071)
675, 701 (1049)
593, 653 (1059)
526, 538, 580 (1010)
419, 438, 663, 707 (1020)
789, 829 (1141)
529, 598 (1020)
583, 617 (1034)
581, 631 (1007)
583, 617 (1034)
583, 617 (1034)
571, 623 (1010)
581, 631 (1007)
581, 631 (1007)
581, 631 (1007)
675, 701 (1049)
571, 623 (1010)
572, 579 (1044)
591, 675 (1059)
561, 567, 630, 758 (1049)
487, 510 (1043)
208, 290 (1081)
471, 477, 746 (1224)
579, 581 (1033)
283, 346 (1252)
675, 701 (1049)
579, 581 (1033)
581, 631 (1007)
572, 579 (1044)
217, 283 (1047)
283, 346 (1252)
529, 598 (1020)
217, 283 (1047)
283, 346 (1252)
487, 494 (1071)
572, 579 (1044)
581, 631 (1007)
208, 290 (1081)
572, 579 (1044)
675, 701 (1049)
572, 579 (1044)
529, 598 (1020)
208, 290 (1081)
458, 829 (1043)
675, 701 (1049)
789, 829 (1141)
217, 283 (1047)
283, 346 (1252)
529, 598 (1020)
487, 494 (1071)
529, 598 (1020)
571, 623 (1010)
789, 829 (1141)
581, 631 (1007)
527, 684, 752, 893 (1049)
789, 829 (1141)
581, 631 (1007)
581, 631 (1007)
789, 829 (1141)
450, 706, 716, 804 (1059)
487, 510 (1043)
69, 112, 266, 362, 529, 550 (1081)
373, 471, 614, 663 (1071)
675, 701 (1049)
579, 581 (1033)
572, 579 (1044)
283, 346 (1252)
529, 598 (1020)
675, 701 (1049)
487, 510 (1043)
419, 450, 641, 704 (1224)
583, 617 (1034)
326, 449, 469, 800, 841, 885 (1034)
529, 598 (1020)
789, 829 (1141)
368, 413, 468, 682, 793 (1224)
579, 581 (1033)
204, 334 (1081)
583, 617 (1034)
204, 334 (1081)
572, 579 (1044)
487, 510 (1043)
208, 290 (1081)
675, 701 (1049)
581, 631 (1007)
322, 354, 357, 424, 480, 694 (1071)
529, 598 (1020)
527, 620 (1020)
572, 579 (1044)
419, 581, 661 (1071)
581, 631 (1007)
572, 579 (1044)
538, 684, 736, 788 (1049)
487, 510 (1043)
572, 579 (1044)
217, 283 (1047)
283, 346 (1252)
550, 577, 686, 704, 722, 769 (1141)
789, 829 (1141)
208, 290 (1081)
675, 701 (1049)
487, 494 (1071)
378, 413, 487, 793 (1071)
440, 494, 517 (1071)
789, 829 (1141)
789, 829 (1141)
675, 701 (1049)
208, 290 (1081)
440, 494, 517 (1071)
576, 694 (1034)
529, 598 (1020)
571, 623 (1010)
385, 673, 735, 774 (1020)
440, 494, 517 (1071)
583, 617 (1034)
33, 69, 217, 283, 346, 494, 515, 541, 631 (1252)
217, 283 (1047)
283, 346 (1252)
509, 593, 758 (1033)
581, 631 (1007)
581, 631 (1007)
572, 579 (1044)
572, 579 (1044)
